Project Number,year,papersNum
5R01CA166974-03,3,0
5R01AI089891-05,5,2
5R01AI051448-12,12,0
3R01CA173754-03S1,3,2
5R01GM107590-02,2,2
5R01CA172774-02,2,2
5R01HL083237-08,8,0
6R01CA192954-02,2,0
1R01GM111635-01A1,1,0
5R01AG032342-05,5,0
5R01CA095572-12,12,0
3R01GM050942-19S1,19,0
1R01DK108367-01,1,0
5R01AG001228-35,35,1
5R01MH071533-12,12,0
2R01EY017491-14,14,2
2R01GM097478-05,5,0
5R01NS045500-28,28,0
5R01HD024455-26,26,4
5R01AR059085-05,5,0
5R01AR063643-03,3,0
5R01EY014888-12,12,0
5R01GM098482-05,5,11
5R01DC001797-23,23,0
5R01EY023173-04,4,3
5R01MH100027-08,8,2
3R01EY023105-03S1,3,1
5R01HL118084-03,3,8
5R01AG043458-02,2,1
5R01DC011338-05,5,0
1R01HL132585-01,1,0
5R01CA161796-05,5,0
5R01AI100560-04,4,32
5R01DA031597-05,5,8
5R01DA030454-05,5,0
5R01ES023043-02,2,0
5R01GM065859-12,12,2
1R01ES024950-01,1,1
3R01GM094800-09S1,9,0
5R01DK072231-10,10,0
5R01DK099087-02,2,3
5R01HL121365-02,2,1
5R01DK075976-08,8,0
5R01GM111548-02,2,2
5R01HD062478-05,5,2
1R01AR066717-01A1,1,0
5R01CA119176-10,10,1
5R01AR044276-19,19,1
5R01MH096100-04,4,0
5R01DK104351-02,2,0
5R01ES021483-03,3,0
2R01GM087353-06A1,6,3
5R01GM078069-08,8,0
2R01HL059842-16A1,16,2
2R01GM080677-05,5,0
1R01EY024031-01A1,1,1
5R01GM107782-03,3,0
5R01AI107951-02,2,0
5R01GM071458-12,12,0
5R01HD069175-05,5,2
5R01CA165206-04,4,0
5R01CA116477-10,10,6
1R01NS092667-01,1,0
5R01AI101189-03,3,0
5R01GM098060-04,4,0
5R01GM098766-04,4,5
1R01HD085887-01A1,1,1
5R01HD061356-05,5,5
5R01HL118100-03,3,0
1R01AI114654-01A1,1,1
1R01CA185687-01A1,1,0
5R01AI099708-04,4,0
5R01CA164109-04,4,0
3R01CA184473-02S1,2,0
5R01MH098737-04,4,2
5R01NS053606-07,7,3
1R01MH107305-01,1,0
5R01NS057553-09,9,4
1R01HD085836-01,1,0
5R01CA181150-02,2,0
3R01HD084163-01S1,1,0
5R01HL109823-04,4,0
3R01EB013663-02S1,2,3
5R01CA175353-02,2,0
3R01HL123016-02S1,2,1
5R01GM110663-02,2,0
2R01EY019908-05,5,0
5R01DK091190-05,5,0
5R01DE017914-08,8,5
5R01GM088801-07,7,6
5R01HL115148-03,3,0
1R01CA188471-01A1,1,0
1R01HL125885-01A1,1,0
5R01DC011754-05,5,0
5R01DK045218-21,21,0
5R01CA127334-08,8,4
5R01TW009295-04,4,0
1R01MH107579-01,1,0
1R01CA188506-01A1,1,1
5R01AI111605-02,2,2
5R01DC008855-07,7,4
1R01NS093362-01,1,0
1R01NS091161-01,1,4
5R01DA017932-10,10,0
5R01CA180929-03,3,0
5R01GM092740-05,5,1
5R01DK099732-02,2,0
5R01NS034509-19,19,0
5R01NS075995-05,5,3
5R01AI099284-04,4,7
5R01AA020404-05,5,1
5R01AI087856-05,5,0
5R01MH097486-03,3,0
3R01HL055673-18S1,18,4
2R01GM061738-14,14,0
1R01HD085017-01,1,0
7R01AI106307-03,3,4
5R01GM067862-12,12,5
5R01EY016782-09,9,2
5R01GM095990-05,5,1
1R01DK103710-01A1,1,0
5R01HD074346-03,3,0
1R01HL123965-01A1,1,0
5R01CA187076-02,2,1
5R01HL112992-03,3,1
5R01EB009903-06,6,0
5R01MD005849-05,5,1
5R01CA166827-04,4,0
5R01DK102165-03,3,0
1R01HL124773-01A1,1,0
1R01EY024942-01A1,1,0
1R01NS088564-01A1,1,0
5R01DC006441-13,13,0
5R01CA186702-02,2,1
2R01HL063038-14A1,14,0
5R01GM111557-02,2,1
5R01DK053892-17,17,7
5R01CA166936-04,4,4
5R01GM046736-23,23,0
5R01DK094937-02,2,0
5R01ES003598-27,27,0
5R01CA175094-02,2,0
1R01AR067821-01,1,0
5R01AI056266-10,10,0
5R01GM059638-15,15,2
7R01HG006693-04,4,3
5R01CA168814-03,3,2
5R01HL119967-02,2,0
2R01DK068348-11,11,2
5R01EY020868-05,5,0
5R01HD083027-02,2,0
5R01HL117181-03,3,2
5R01AG022374-10,10,20
5R01HD058305-19,19,1
1R01HL125405-01,1,0
1R01MH107549-01,1,2
2R01HL098839-05A1,5,4
5R01NS082554-02,2,0
3R01AI066219-09S1,9,4
5R01AI079243-07,7,5
1R01CA184208-01A1,1,2
1R01CA195754-01,1,0
5R01DE023365-03,3,0
5R01DK096138-03,3,1
5R01AR063104-03,3,0
5R01GM065597-11,11,0
5R01HL113514-03,3,0
5R01AR046831-13,13,0
5R01DE023414-02,2,0
5R01GM101040-03,3,0
5R01MH099571-03,3,0
5R01HL060014-17,17,2
1R01DA040930-01,1,0
5R01HL096693-05,5,0
3R01AI108682-01A1S1,1,1
5R01DA034065-03,3,0
5R01HL090775-08,8,0
1R01DK103562-01A1,1,0
5R01CA139020-06,6,14
